PoolBackground,32,-64,0B35B164,0,1,1,4294967295,0,0
FallSpike,992,864,C1C1ED02,0,1,1,4294967295,0,0
FloatSpike,960,896,E0F568D5,0,1,1,4294967295,0,0
PoolSpikeL,960,672,297EB4EA,0,1,1,4294967295,0,0
PoolSpikeL,960,704,FE39A15E,0,1,1,4294967295,0,0
FallSpike,1184,1056,5684891C,0,1,1,4294967295,0,0
FallSpike,1216,1056,F4973061,0,1,1,4294967295,0,0
FallSpike,1248,1056,A843D2AD,0,1,1,4294967295,0,0
FallSpike,1280,1056,6E750107,0,1,1,4294967295,0,0
FallSpike,1312,1056,6FE936D5,0,1,1,4294967295,0,0
FallSpike,1504,1088,FC4A0B1B,0,1,1,4294967295,0,0
FallSpike,1536,1088,F50EEA3D,0,1,1,4294967295,0,0
FloatSpike,1504,928,CF211EC7,0,1,1,4294967295,0,0
FloatSpike,1536,928,D8BAE64D,0,1,1,4294967295,0,0
Butten,1216,864,EEE35B7F,0,1,1,4294967295,0,1
Butten,928,896,7AC77352,0,1,1,4294967295,0,1
Butten,1376,832,65785C94,0,1,1,4294967295,0,1
Butten,1440,832,5715C417,0,1,1,4294967295,0,1
Butten,1088,800,F34E0B2C,0,1,1,4294967295,0,1
Block,0,1184,74F2E373,0,50,1,4294967295,0,0
Block,0,32,776E9051,0,1,33,4294967295,0,0
Block,1568,32,09FF1452,0,1,35,4294967295,0,0
Block,0,0,290DF5B3,0,50,1,4294967295,0,0
Block,1120,928,920A1921,0,9,1,4294967295,0,0
Block,896,928,227F9E01,0,5,1,4294967295,0,0
Block,864,1120,6547D326,0,5,2,4294967295,0,0
Block,1120,1152,211D5588,0,1,1,4294967295,0,0
Block,864,832,4D7BE0DB,0,5,1,4294967295,0,0
Block,1056,832,AFD3045C,0,4,1,4294967295,0,0
Block,800,608,49C8A6CE,0,1,18,4294967295,0,0
Block,1184,704,A5871B3C,0,8,1,4294967295,0,0
Block,1312,864,E05C3248,0,8,1,4294967295,0,0
Block,1312,768,050B8A51,0,1,3,4294967295,0,0
